Id_venta;Id_cliente;Fecha_venta;Producto;Cantidad;Precio
V051;CL005;20/02/2025;Monitor;7;1697
V052;CL004;21/02/2025;Impresora;4;1851
V053;CL004;22/02/2025;Teclado;3;904
V054;CL001;23/02/2025;Impresora;1;198
V055;CL002;24/02/2025;Impresora;4;783
V056;CL002;25/02/2025;Mouse;2;1995
V057;CL001;26/02/2025;Teclado;8;825
V058;CL002;27/02/2025;Teclado;4;1670
V059;CL001;28/02/2025;Teclado;2;1060
V060;CL005;1/03/2025;Impresora;6;1862
V061;CL004;2/03/2025;Monitor;6;712
V062;CL005;3/03/2025;Teclado;4;1585
V063;CL004;4/03/2025;Impresora;6;742
V064;CL002;5/03/2025;Mouse;2;1892
V065;CL003;6/03/2025;Monitor;2;1128
V066;CL002;7/03/2025;Mouse;4;1341
V067;CL002;8/03/2025;Monitor;8;602
V068;CL001;9/03/2025;Impresora;7;866
V069;CL004;10/03/2025;Laptop;9;497
V070;CL002;11/03/2025;Monitor;8;970
V071;CL001;12/03/2025;Mouse;5;894
V072;CL003;13/03/2025;Impresora;10;492
V073;CL004;14/03/2025;Monitor;5;306
V074;CL002;15/03/2025;Laptop;8;1138
V075;CL005;16/03/2025;Laptop;9;1981
V076;CL001;17/03/2025;Teclado;9;1677
V077;CL005;18/03/2025;Teclado;1;991
V078;CL004;19/03/2025;Mouse;9;1584
V079;CL002;20/03/2025;Monitor;7;1814
V080;CL003;21/03/2025;Monitor;9;1698
V081;CL002;22/03/2025;Teclado;8;963
V082;CL002;23/03/2025;Monitor;7;842
V083;CL004;24/03/2025;Monitor;8;1364
V084;CL001;25/03/2025;Laptop;8;663
V085;CL002;26/03/2025;Teclado;3;1120
V086;CL005;27/03/2025;Impresora;1;195
V087;CL004;28/03/2025;Teclado;8;1857
V088;CL005;29/03/2025;Impresora;3;584
V089;CL002;30/03/2025;Laptop;3;1530
V090;CL001;31/03/2025;Mouse;1;330
V091;CL003;1/04/2025;Monitor;5;848
V092;CL005;2/04/2025;Laptop;7;1778
V093;CL005;3/04/2025;Monitor;9;1294
V094;CL003;4/04/2025;Mouse;7;640
V095;CL001;5/04/2025;Mouse;9;1159
V096;CL004;6/04/2025;Laptop;8;624
V097;CL003;7/04/2025;Mouse;2;1283
V098;CL005;8/04/2025;Impresora;1;1962
V099;CL004;9/04/2025;Mouse;7;1822
V100;CL005;10/04/2025;Monitor;7;1366
